,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
168,Iowa,2013,22.0,21.0,12.0,25.0,88.0,44.0,49.0,68.0,57.0,45.0,45.0,41.0,79.0,21.0,0.0,9.3
169,Kansas,2013,19.0,20.0,11.0,23.0,80.0,39.0,40.0,58.0,49.0,39.0,39.0,33.0,82.0,21.0,6.0,9.6
170,Kentucky,2013,23.0,25.0,13.0,26.0,92.0,43.0,45.0,81.0,53.0,50.0,40.0,41.0,82.0,25.0,7.0,10.6
171,Louisiana,2013,21.0,23.0,11.0,24.0,82.0,36.0,39.0,80.0,49.0,41.0,43.0,37.0,77.0,21.0,6.0,11.6
172,Maine,2013,22.0,24.0,13.0,26.0,96.0,36.0,42.0,76.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
173,Maryland,2013,23.0,21.0,12.0,27.0,89.0,41.0,43.0,74.0,55.0,46.0,43.0,31.0,78.0,21.0,8.0,9.8
174,Massachusetts,2013,20.0,20.0,11.0,24.0,81.0,33.0,35.0,64.0,43.0,39.0,37.0,34.0,70.0,22.0,5.0,8.5
175,Michigan,2013,21.0,21.0,11.0,24.0,80.0,37.0,40.0,71.0,50.0,39.0,42.0,34.0,83.0,26.0,6.0,10.4
176,Minnesota,2013,23.0,21.0,11.0,24.0,82.0,38.0,40.0,67.0,50.0,37.0,41.0,38.0,85.0,19.0,6.0,7.4
177,Mississippi,2013,19.0,20.0,12.0,23.0,86.0,41.0,0.0,79.0,55.0,0.0,49.0,38.0,88.0,30.0,0.0,12.9
178,Missouri,2013,22.0,23.0,11.0,24.0,82.0,38.0,42.0,74.0,52.0,42.0,44.0,40.0,90.0,26.0,5.0,9.6
